School,other_names,State,join_id,operation_dates,religions_identified,tribes_identified,deaths_documented_by_post,deaths_documented_by_govt,grave_sites_found_by_post,grave_sites_found_by_govt
Chilocco Indian Agricultural School,"Hayworth Institute; Chilocco Indian Industrial School; Chilocco Indian Agricultural School;
Chilocco Indian School; Chilocco Training",OK,301,1884 - 1980,,"Alaskan; Apache; Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Blackfeet, Blackfoot; Caddo; Cherokee; Cheyenne; Chickasaw, Chikashsha; Chippewa; Choctaw; Comanche; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Digger Indian; Eastern Cherokee, North Carolina; Gros Ventre, Aaniiih; Haudenosaunee, Iroquois Confederacy, Six Nations; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Hualapai; Iowa, Ioway, Bah-Kho-Je, Baxoje; Kaw, Kansa, Kanza, Kanzas, Kansas; Kickapoo, Kiikaapoa, Kiikaapoi; Kiowa; Kiowa Apache, Plains Apache; Klamath; Leech Lake Band Chippewa, Minnesota; Menominee, Menomini, Mamaceqtaw; Miami of Oklahoma; Mississippi Band of Choctaw; Modoc, Oklahoma; Mohave, Mojave; Munsee, Muncee, Minsi; Navajo, Navaho, Dine; Nez Perce, Idaho; Northern Cheyenne, Montana; Omaha; Oneida; Osage; Otoe; Ottawa, Odawa, Odaawaa; Pawnee; Peoria; Pima; Pit River; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Quapaw; Quechan, Yuma; Sac and Fox; Seminole; Seneca; Shawnee; Sioux; Tohono O'odham, Papago; Tonkawa, Oklahoma; Wichita, Kitikiti'sh; Wyandot, Wyandotte; Yuchi, Euchee",50,10,,1 onsite
Santa Fe Indian School,"Dawes Institute; Santa Fe Industrial Training School; Santa Fe Indian Industrial School; Santa
Fe Training School",NM,235,1890 - Open,,"Apache; Assiniboine; Chippewa; Crow Creek Sioux; Gila River - Sacaton; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Jicarilla Apache; Klamath; Manchester, Pomo; Mescalero Apache; Mohave, Mojave; Navajo, Navaho, Dine; Pascua Yaqui; Pawnee; Peoria; Pima; Pomo; Pueblo; Pueblo of Picuris, Pe'ewi; Pueblo of San Juan, Ohkay Owingeh; Pueblo of Santo Domingo; Pueblo of Taos, Tuah-Tah; Pueblo of Zia, Tsi-ya; Pueblo of Zuni, Ashiwi; Puyallup; Sac and Fox; San Carlos Apache; Shoshone, Shoshoni, Snake; Shoshone, Te-Moak, Elko Colony; Southern Ute; Tohono O'odham, Papago; Ute; Watlala, Cascade Indians; White Mountain Apache; Yukiah, Yuki, Ukiah",48,34,,1 onsite
Phoenix Indian School,"Phoenix Training School; Phoenix Training and Industrial School; Peel Institute; Phoenix
School; Phoenix Sanatorium",AZ,73,1891 - 1990,,"Apache; Bannock, Northern Paiute; Blackfeet, Blackfoot; Caddo; Chemehuevi from Colorado River; Cherokee; Cheyenne River Sioux; Chickasaw, Chikashsha; Chippewa; Choctaw; Cocopah, Kwapa; Comanche; Cree; Creek, Muscogee, Mvskoke; Crow, Absaroka; Digger Indian; Gila River - Pima; Havasupai, Yava Supai; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Nebraska; Hopi from Colorado River; Hopi, Moqui Pueblo; Hualapai; Hupa, Hoopa; Kiowa; Kiowa Apache, Plains Apache; Klamath; Lac du Flambeau Band, Lake Superior Chippewa; Maricopa; Mescalero Apache; Mission Indians, California; Modoc from Klamath, Oregon; Mohave from Colorado River; Mohave, Mojave; Nakoda from Fort Peck; Navajo, Navaho, Dine; Nez Perce, Idaho; Osage; Otoe; Paiute Shoshone; Paiute, Pi-Ute; Pawnee; Pima; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Pueblo of Acoma, Haak'u; Pueblo of Zuni, Ashiwi; Quapaw; Quechan, Yuma; Sac and Fox; Salt River Pima; San Carlos Apache; Shawnee; Sioux; Southern Ute; Standing Rock Sioux; Tlingit, Tlinkit; Tohono O'odham, Papago; Turtle Mountain Band of Chippewa; Washoe, Washo; Yakama, Yakima; Yankton Sioux, Yanktonai",46,23,,
Rapid City Indian School,"Rapid City Indian School and Sanatorium; Rapid City Training; School of the Hills; Sioux
Sanatorium; Sioux San Day School; Sioux San Hospital",SD,390,1898 - 1934,,"Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Blackfeet, Blackfoot; Cheyenne; Cheyenne River Sioux; Chippewa; Cree; Crow Creek Sioux; Crow, Absaroka; Flandreau Santee Sioux; Flathead Indians; Gros Ventre, Aaniiih; Lower Brule Sioux; Mandan, Mantannes, Mayadana; Northern Cheyenne, Montana; Oglala Sioux from Pine Ridge; Omaha; Rosebud Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Spokane; Standing Rock Sioux; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",45,12,,"1 offsite, 1 onsite"
Pierre Indian School,Pierre Indian School Learning Center; Pierre Indian Learning Center*,SD,379,1890 - Open,,"Arikara, Arickaree, Arikaree; Blackfeet, Blackfoot; Cherokee; Cheyenne River Sioux; Chippewa; Cree from Rocky Boys, Montana; Crow Creek Sioux; Crow, Absaroka; Flandreau Santee Sioux; Flathead Indians; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Lower Brule Sioux; Mandan, Mantannes, Mayadana; Nakoda from Fort Belknap; Nakoda from Fort Peck; Nez Perce, Idaho; Northern Cheyenne, Montana; Oglala Sioux from Pine Ridge; Omaha; Piegan, Peigan, Pikuni, Piikuni; Ponca; Rosebud Sioux; Sac and Fox; Santee Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",40,2,1 offsite,
Grand Junction Indian School,Grand Junction School; Grand Junction Training; Teller Indian School; Teller Institute,CO,92,1886 - 1911,,"Apache; Hopi from Colorado River; Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Pima; Pueblo; Shoshone, Shoshoni, Snake; Tohono O'odham, Papago",36,0,,1 onsite
St. Labre Indian Mission Boarding School,St. Labre at Busby; St. Labre Indian School*,MT,189,1884 - Open,Catholic Bureau of Indian Missions; Roman Catholic,"Northern Cheyenne, Montana",33,1,1 onsite,
Thomas Indian School,Gowanda School; Thomas Asylum of Orphan and Destitute Indian Children,NY,249,1855 - 1969,American Board of Commissioners for Foreign Missions (ABCFM); Religious Society of Friends,"Cayuga; Cayuse, Liksiyu; Mohawk, Kanien'keha:ka; Munsee, Muncee, Minsi; Oneida; Onondaga; Saint Regis, St Regis Band of Mohawk; Seneca; Shinnecock, New York; Tonawanda Band of Seneca; Tuscarora; Wabanaki, Wabenaki, Wobanaki",33,18,1 offsite,1 onsite
Cushman Indian School,"Cushman Indian Trades School; Puyallup Indian School; Puyallup Boarding School; Tacoma
Sanatorium; Cushman Indian Hospital; Cascadia",WA,413,1869 - 1930,,"Chehalis; Coeur D'Alene; Humptulip, Coast Salish; Nisqually, Nisqualli; Puyallup; Quaitso; Quinault, Quinaielt; S'klallam, Klallam, Clallam; Skokomish; Squaxin Island, Squaxon",33,8,1 offsite,1 onsite
Fort Lapwai Training School,Fort Lapwai Sanatorium and Hospital; Fort Lapwai Industrial School,ID,108,1879 - 1935,,"Alaskan; Arapaho, Arapahoe; Assiniboine; Bannock, Northern Paiute; Blackfeet, Blackfoot; Cayuse, Liksiyu; Cheyenne; Coeur D'Alene; Colville; Colville from Colville; Cree; Digger Indian; Eastern Shoshone from Wind River, Wyoming; Eskimo; Flathead Indians; Gros Ventre, Aaniiih; Kalispel; Klamath; Klamath, Oregon; Kootenai Tribe of Idaho, Idaho Ksanka, Lower Kootenai; Kootenai, Ktunaxa, Kutenai, Kootenay, Ksanka; Lummi; Modoc from Klamath, Oregon; Muckleshoot; Nez Perce from Colville; Nez Perce, Idaho; Nooksack; Northern Arapaho from Wind River, Wyoming; Northern Cheyenne, Montana; Paiute Shoshone; Paiute, Pi-Ute; Piegan, Peigan, Pikuni, Piikuni; Port Madison, Suquamish; Puyallup; Quinault, Quinaielt; Seminole, Oklahoma; Shoshone, Shoshoni, Snake; Sioux; Skagit; S'klallam, Klallam, Clallam; Snohomish; Spokane; Suquamish; Tilamook, Nekelim, Siletz; Tlingit, Tlinkit; Tolowa Dee-ni', Smith River; Tulalip; Umatilla; Walla Walla, Wallawalla; Wasco, Wishram; Wasco, Wishram, Chinook from Warm Springs; Wasco, Wishram, Chinook from Yakama; Yakama, Yakima; Yankton Sioux, Yanktonai",32,27,2 offsite,
Fort Totten Indian Industrial School,"Whipple Institute; Fort Totten Bonded Industrial School; Tuberculosis Preventorium; Fort
Totten Community School",ND,255,1891 - 1959,Catholic,Chippewa; Cree; Sioux; Sisseton Wahpeton Oyate Sioux; Spirit Lake Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa,32,5,1 offsite,
San Juan Training School,San Juan Boarding School; San Juan Indian School,NM,229,1906 - 1966,,"Navajo, Navaho, Dine",30,4,,
Fort Shaw Government Industrial Indian School,Fort Shaw Training School; Fort Shaw Boarding School,MT,182,1892 - 1910,,"Assiniboine; Blackfeet, Blackfoot; Cheyenne; Chippewa; Colville; Cree; Crow, Absaroka; Flathead Indians; Gros Ventre, Aaniiih; Kalispel; Kootenai from Flathead, Montana; Nez Perce, Idaho; Northern Cheyenne, Montana; Pend d'Oreille, Upper Kalispel; Piegan, Peigan, Pikuni, Piikuni; Shoshone Bannock; Shoshone, Shoshoni, Snake; Sioux; Spokane from Flathead; Yankton Sioux, Yanktonai",29,1,,1 onsite
Flandreau Indian School,Flandreau Training; Riggs Institute,SD,387,1872 - Open,Presbyterian,"Arikara, Arickaree, Arikaree; Assiniboine; Bad River Band, Lake Superior Chippewa, Odanah; Blackfeet, Blackfoot; Bois Forte Band Chippewa, Nett Lake, Minnesota; Cherokee; Cheyenne; Cheyenne River Sioux; Chippewa; Cree; Crow Creek Sioux; Crow, Absaroka; Flandreau Santee Sioux; Flathead Indians; Fond du Lac Band Chippewa, Minnesota; Grand Portage Band Chippewa, Minnesota; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Lac du Flambeau Band, Lake Superior Chippewa; Leech Lake Band Chippewa, Minnesota; Mandan, Mantannes, Mayadana; Menominee, Menomini, Mamaceqtaw; Mohawk, Kanien'keha:ka; Oglala Sioux from Pine Ridge; Omaha; Oneida; Ottawa, Odawa, Odaawaa; Pawnee; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sac and Fox; Sioux; Stockbridge-Munsee, Stockbridge Mohican; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",28,9,,
Fort Apache Boarding School,Mountain Apache Boarding School; Whiteriver School; Fort Apache Training School,AZ,46,1894 - 1970,,"Apache; Navajo, Navaho, Dine; Pima; San Carlos Apache; White Mountain Apache",27,17,,
Tuba City Boarding School,Western Navajo Indian School; Tuba Vocational Boarding and Day School,AZ,61,1903 - Open,,"Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Paiute, Pi-Ute",27,11,2 offsite,
Greenville Indian Industrial Boarding School,Greenville Training School; Greenville Day School,CA,85,1891 - 1923,Methodist,"Cachil DeHe Band of Wintun Indians, Colusa; Digger Indian; Mechoopda, Chico; Shasta; Washoe, Washo",27,1,,
Fort Yuma Indian Boarding School,Ft. Yuma,CA,84,1884 - 1933,Catholic,"Apache; Cherokee; Cocopah, Kwapa; Fallon Paiute Shoshone; Mission Indians, California; Mohave from Colorado River; Mohave, Mojave; Paiute, Pi-Ute; Pima; Quechan, Yuma; Sioux; Tohono O'odham, Papago",26,4,,
Quinaielt Boarding and Day School,Quinailt School; Taholah (Quinaielt) Day School; Taholah Day School; Tahola Day School,WA,409,1870 - 1920,,"Puyallup; Quileute; Quinault, Quinaielt",26,0,,
Crownpoint Boarding School,"Crownpoint Community School; Pueblo Bonito Boarding School; Eastern Navajo; T'iis Ts'ozi
Bi' Olta'*",NM,208,1912 - 1962 | 1963 - Open,Christian Reformed Church,"Cherokee; Navajo, Navaho, Dine; Ramah Navajo",26,11,1 offsite,
Fort Lewis Indian Boarding School,Fort Lewis High School; Fort Lewis A&M College; Old Fort; Fort Lewis College,CO,89,1892 - 1909,,"Mescalero Apache; Navajo, Navaho, Dine; Pueblo; Southern Ute",25,1,1 onsite,
Hampton Institute,"Butler School for Negro Children; Hampton Agricultural and Industrial School; Hampton
Normal and Agricultural Institute; Hampton University*",VA,402,1878 - Open,"Congregational Church; Independent, Nonsectarian Missionary","Absentee-Shawnee; Arikara, Arickaree, Arikaree; Comanche; Crow, Absaroka; Delaware, Lenni Lenape; Hidatsa, Hiraaca; Ho-Chunk, Winnebago; Mandan, Mantannes, Mayadana; Omaha; Oneida; Onondaga; Pawnee; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Sioux",23,4,,1 onsite
