School,School,State,join_id,operation_dates,religions_identified,tribes_identified,DOI deceased,WP deceased,DOI burial sites,WP burial sites,other_names,Latitude,Longitude,Verified
Chilocco Indian Agricultural School,[Chilocco Indian Agricultural School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/OK/Chilocco_Indian_Agricultural_School),OK,301,1884 - 1980,,"Alaskan; Apache; Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Blackfeet, Blackfoot; Caddo; Cherokee; Cheyenne; Chickasaw, Chikashsha; Chippewa; Choctaw; Comanche; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Digger Indian; Eastern Cherokee, North Carolina; Gros Ventre, Aaniiih; Haudenosaunee, Iroquois Confederacy, Six Nations; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Hualapai; Iowa, Ioway, Bah-Kho-Je, Baxoje; Kaw, Kansa, Kanza, Kanzas, Kansas; Kickapoo, Kiikaapoa, Kiikaapoi; Kiowa; Kiowa Apache, Plains Apache; Klamath; Leech Lake Band Chippewa, Minnesota; Menominee, Menomini, Mamaceqtaw; Miami of Oklahoma; Mississippi Band of Choctaw; Modoc, Oklahoma; Mohave, Mojave; Munsee, Muncee, Minsi; Navajo, Navaho, Dine; Nez Perce, Idaho; Northern Cheyenne, Montana; Omaha; Oneida; Osage; Otoe; Ottawa, Odawa, Odaawaa; Pawnee; Peoria; Pima; Pit River; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Quapaw; Quechan, Yuma; Sac and Fox; Seminole; Seneca; Shawnee; Sioux; Tohono O'odham, Papago; Tonkawa, Oklahoma; Wichita, Kitikiti'sh; Wyandot, Wyandotte; Yuchi, Euchee",10,50,1 onsite,,"Hayworth Institute; Chilocco Indian Industrial School; Chilocco Indian Agricultural School;
Chilocco Indian School; Chilocco Training",36.98747222,-97.07013889,TRUE
Santa Fe Indian School*,[Santa Fe Indian School*](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/NM/Santa_Fe_Indian_School),NM,235,1890 - Open,,"Apache; Assiniboine; Chippewa; Crow Creek Sioux; Gila River - Sacaton; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Jicarilla Apache; Klamath; Manchester, Pomo; Mescalero Apache; Mohave, Mojave; Navajo, Navaho, Dine; Pascua Yaqui; Pawnee; Peoria; Pima; Pomo; Pueblo; Pueblo of Picuris, Pe'ewi; Pueblo of San Juan, Ohkay Owingeh; Pueblo of Santo Domingo; Pueblo of Taos, Tuah-Tah; Pueblo of Zia, Tsi-ya; Pueblo of Zuni, Ashiwi; Puyallup; Sac and Fox; San Carlos Apache; Shoshone, Shoshoni, Snake; Shoshone, Te-Moak, Elko Colony; Southern Ute; Tohono O'odham, Papago; Ute; Watlala, Cascade Indians; White Mountain Apache; Yukiah, Yuki, Ukiah",34,48,1 onsite,,"Dawes Institute; Santa Fe Industrial Training School; Santa Fe Indian Industrial School; Santa
Fe Training School",35.67127778,-105.9670556,TRUE
Phoenix Indian School,[Phoenix Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/AZ/Phoenix_Indian_School),AZ,73,1891 - 1990,,"Apache; Bannock, Northern Paiute; Blackfeet, Blackfoot; Caddo; Chemehuevi from Colorado River; Cherokee; Cheyenne River Sioux; Chickasaw, Chikashsha; Chippewa; Choctaw; Cocopah, Kwapa; Comanche; Cree; Creek, Muscogee, Mvskoke; Crow, Absaroka; Digger Indian; Gila River - Pima; Havasupai, Yava Supai; Ho-Chunk, Winnebago; Ho-Chunk, Winnebago, Nebraska; Hopi from Colorado River; Hopi, Moqui Pueblo; Hualapai; Hupa, Hoopa; Kiowa; Kiowa Apache, Plains Apache; Klamath; Lac du Flambeau Band, Lake Superior Chippewa; Maricopa; Mescalero Apache; Mission Indians, California; Modoc from Klamath, Oregon; Mohave from Colorado River; Mohave, Mojave; Nakoda from Fort Peck; Navajo, Navaho, Dine; Nez Perce, Idaho; Osage; Otoe; Paiute Shoshone; Paiute, Pi-Ute; Pawnee; Pima; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Pueblo; Pueblo of Acoma, Haak'u; Pueblo of Zuni, Ashiwi; Quapaw; Quechan, Yuma; Sac and Fox; Salt River Pima; San Carlos Apache; Shawnee; Sioux; Southern Ute; Standing Rock Sioux; Tlingit, Tlinkit; Tohono O'odham, Papago; Turtle Mountain Band of Chippewa; Washoe, Washo; Yakama, Yakima; Yankton Sioux, Yanktonai",23,46,,,"Phoenix Training School; Phoenix Training and Industrial School; Peel Institute; Phoenix
School; Phoenix Sanatorium",33.495828,-112.069402,TRUE
Rapid City Indian School,[Rapid City Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/SD/Rapid_City_Indian_School),SD,390,1898 - 1934,,"Arapaho, Arapahoe; Arikara, Arickaree, Arikaree; Assiniboine; Blackfeet, Blackfoot; Cheyenne; Cheyenne River Sioux; Chippewa; Cree; Crow Creek Sioux; Crow, Absaroka; Flandreau Santee Sioux; Flathead Indians; Gros Ventre, Aaniiih; Lower Brule Sioux; Mandan, Mantannes, Mayadana; Northern Cheyenne, Montana; Oglala Sioux from Pine Ridge; Omaha; Rosebud Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Spokane; Standing Rock Sioux; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",12,45,"1 offsite, 1 onsite",,"Rapid City Indian School and Sanatorium; Rapid City Training; School of the Hills; Sioux
Sanatorium; Sioux San Day School; Sioux San Hospital",44.072883,-103.275027,TRUE
Pierre Indian School,[Pierre Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/SD/Pierre_Indian_School),SD,379,1890 - Open,,"Arikara, Arickaree, Arikaree; Blackfeet, Blackfoot; Cherokee; Cheyenne River Sioux; Chippewa; Cree from Rocky Boys, Montana; Crow Creek Sioux; Crow, Absaroka; Flandreau Santee Sioux; Flathead Indians; Gros Ventre, Aaniiih; Ho-Chunk, Winnebago; Hopi, Moqui Pueblo; Lower Brule Sioux; Mandan, Mantannes, Mayadana; Nakoda from Fort Belknap; Nakoda from Fort Peck; Nez Perce, Idaho; Northern Cheyenne, Montana; Oglala Sioux from Pine Ridge; Omaha; Piegan, Peigan, Pikuni, Piikuni; Ponca; Rosebud Sioux; Sac and Fox; Santee Sioux; Sioux; Sisseton Wahpeton Oyate Sioux; Standing Rock Sioux; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara; Turtle Mountain Band of Chippewa; White Earth Band Chippewa; Yankton Sioux, Yanktonai",2,40,,1 offsite,Pierre Indian School Learning Center; Pierre Indian Learning Center*,44.35294613,-100.310645,TRUE
Grand Junction Indian School,[Grand Junction Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/CO/Grand_Junction_Indian_School),CO,92,1886 - 1911,,"Apache; Hopi from Colorado River; Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Pima; Pueblo; Shoshone, Shoshoni, Snake; Tohono O'odham, Papago",0,36,1 onsite,,Grand Junction School; Grand Junction Training; Teller Indian School; Teller Institute,39.06457282,-108.5303134,TRUE
St. Labre Indian Mission Boarding School,[St. Labre Indian Mission Boarding School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/MT/St_Labre_Indian_Mission_Boarding_School),MT,189,1884 - Open,Catholic Bureau of Indian Missions; Roman Catholic,"Northern Cheyenne, Montana",1,33,,1 onsite,St. Labre at Busby; St. Labre Indian School*,45.60555556,-106.2827778,TRUE
Thomas Indian School,[Thomas Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/NY/Thomas_Indian_School),NY,249,1855 - 1969,American Board of Commissioners for Foreign Missions (ABCFM); Religious Society of Friends,"Cayuga; Cayuse, Liksiyu; Mohawk, Kanien'keha:ka; Munsee, Muncee, Minsi; Oneida; Onondaga; Saint Regis, St Regis Band of Mohawk; Seneca; Shinnecock, New York; Tonawanda Band of Seneca; Tuscarora; Wabanaki, Wabenaki, Wobanaki",18,33,1 onsite,1 offsite,Gowanda School; Thomas Asylum of Orphan and Destitute Indian Children,42.53944444,-78.99666667,TRUE
Cushman Indian School,[Cushman Indian School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/WA/Cushman_Indian_School),WA,413,1869 - 1930,,"Chehalis; Coeur D'Alene; Humptulip, Coast Salish; Nisqually, Nisqualli; Puyallup; Quaitso; Quinault, Quinaielt; S'klallam, Klallam, Clallam; Skokomish; Squaxin Island, Squaxon",8,33,1 onsite,1 offsite,"Cushman Indian Trades School; Puyallup Indian School; Puyallup Boarding School; Tacoma
Sanatorium; Cushman Indian Hospital; Cascadia",47.26277778,-122.4422222,FALSE
Fort Lapwai Training School,[Fort Lapwai Training School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/ID/Fort_Lapwai_Training_School),ID,108,1879 - 1935,,"Alaskan; Arapaho, Arapahoe; Assiniboine; Bannock, Northern Paiute; Blackfeet, Blackfoot; Cayuse, Liksiyu; Cheyenne; Coeur D'Alene; Colville; Colville from Colville; Cree; Digger Indian; Eastern Shoshone from Wind River, Wyoming; Eskimo; Flathead Indians; Gros Ventre, Aaniiih; Kalispel; Klamath; Klamath, Oregon; Kootenai Tribe of Idaho, Idaho Ksanka, Lower Kootenai; Kootenai, Ktunaxa, Kutenai, Kootenay, Ksanka; Lummi; Modoc from Klamath, Oregon; Muckleshoot; Nez Perce from Colville; Nez Perce, Idaho; Nooksack; Northern Arapaho from Wind River, Wyoming; Northern Cheyenne, Montana; Paiute Shoshone; Paiute, Pi-Ute; Piegan, Peigan, Pikuni, Piikuni; Port Madison, Suquamish; Puyallup; Quinault, Quinaielt; Seminole, Oklahoma; Shoshone, Shoshoni, Snake; Sioux; Skagit; S'klallam, Klallam, Clallam; Snohomish; Spokane; Suquamish; Tilamook, Nekelim, Siletz; Tlingit, Tlinkit; Tolowa Dee-ni', Smith River; Tulalip; Umatilla; Walla Walla, Wallawalla; Wasco, Wishram; Wasco, Wishram, Chinook from Warm Springs; Wasco, Wishram, Chinook from Yakama; Yakama, Yakima; Yankton Sioux, Yanktonai",27,32,,2 offsite,Fort Lapwai Sanatorium and Hospital; Fort Lapwai Industrial School,46.395186,-116.802063,TRUE
Fort Totten Indian Industrial School,[Fort Totten Indian Industrial School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/ND/Fort_Totten_Indian_Industrial_School),ND,255,1891 - 1959,Catholic,Chippewa; Cree; Sioux; Sisseton Wahpeton Oyate Sioux; Spirit Lake Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa,5,32,,1 offsite,"Whipple Institute; Fort Totten Bonded Industrial School; Tuberculosis Preventorium; Fort
Totten Community School",47.9774617,-98.99456119,TRUE
San Juan Training School,[San Juan Training School](https://github.com/washingtonpost/data-boarding-schools/tree/main/schools/NM/San_Juan_Training_School),NM,229,1906 - 1966,,"Navajo, Navaho, Dine",4,30,,,San Juan Boarding School; San Juan Indian School,36.785179,-108.68911,TRUE
